# Stage 06 - green-grid transcription from the reference capture.
stage,6
moves,43
origin,554,151
tile,82

# Traversable cells
object,floor,1,0
object,floor,2,0
object,floor,3,0
object,floor,1,1
object,floor,2,1
object,floor,3,1
object,floor,0,2
object,floor,1,2
object,floor,2,2
object,floor,3,2
object,floor,1,3
object,floor,2,3
object,floor,3,3
object,floor,4,3
object,floor,1,4
object,floor,2,4
object,floor,3,4
object,floor,4,4
object,floor,5,4
object,floor,6,4
object,floor,1,5
object,floor,2,5
object,floor,3,5
object,floor,4,5
object,floor,5,5
object,floor,6,5
object,floor,4,6
object,floor,5,6
object,floor,6,6
object,floor,4,7
object,floor,5,7

object,player,2,0
object,target,5,7
object,key,3,2
object,lockbox,4,6
object,enemy,1,4
object,enemy,5,5
object,stone,1,1,1
object,stone,2,1,4
object,stone,3,1,3
object,stone,2,3,6
object,stone,3,4,5
object,stone,4,4,8
object,stone,3,5,7
object,stone,5,6,9
object,moving_spike,1,3
object,moving_spike,2,3

object,torch,0,0,stage6_lit_left
object,torch,4,1,empty_stage6_center
object,torch,5,1,stage6_lit_right
