# Stage 07 - green-grid transcription from the reference capture.
stage,7
moves,32
origin,591,193
tile,82

# Traversable cells
object,floor,3,0
object,floor,4,0
object,floor,3,1
object,floor,4,1
object,floor,5,1
object,floor,0,2
object,floor,1,2
object,floor,3,2
object,floor,4,2
object,floor,5,2
object,floor,0,3
object,floor,1,3
object,floor,2,3
object,floor,3,3
object,floor,4,3
object,floor,5,3
object,floor,0,4
object,floor,2,4
object,floor,3,4
object,floor,4,4
object,floor,5,4
object,floor,0,5
object,floor,1,5
object,floor,2,5
object,floor,3,5
object,floor,0,6
object,floor,1,6
object,floor,2,6
object,floor,3,6

object,player,5,4
object,target,3,0
object,key,1,2
object,lockbox,4,1
object,enemy,0,3
object,enemy,3,3
object,enemy,2,4
object,stone,3,2,8
object,stone,4,2,4
object,stone,5,2,6
object,stone,1,3,5
object,stone,4,3,1

# Raised and lowered wave spikes match the captured initial frame.
object,moving_spike,0,5,active
object,moving_spike,3,5
object,moving_spike,0,6
object,moving_spike,1,6,active
object,moving_spike,2,6
object,moving_spike,3,6,active

object,torch,-1,4,stage7_lit_left
object,torch,5,-1,empty_stage7_center
object,torch,6,0,stage7_lit_right
